short_app	policy_impl	cache_percentage	global_batch_size	dataset_short	Sequence	Sequence(Average) extract time	Sequence(Average) e2e time	Sequence(Average) seq duration	coll_cache_refresh_seq_bucket_sz	coll_cache_enable_refresh	Python seq e2e time
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	79	0.000507	0.001700	86.742158	4000	True	0.001838
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	80	0.000523	0.001719	87.825921	4000	True	0.001707
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	81	0.000541	0.001730	88.905432	4000	True	0.001688
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	82	0.000534	0.001712	89.988430	4000	True	0.001729
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	83	0.000492	0.001671	91.056045	4000	True	0.001719
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	84	0.000526	0.001705	92.115364	4000	True	0.001712
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	85	0.000525	0.001705	93.195169	4000	True	0.001675
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	86	0.000533	0.001719	94.265020	4000	True	0.001727
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	87	0.000548	0.001730	95.358301	4000	True	0.001693
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	88	0.000527	0.001699	96.453529	4000	True	0.001721
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	89	0.000510	0.001688	97.517740	4000	True	0.001717
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	90	0.000528	0.001706	98.580141	4000	True	0.001710
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	91	0.000523	0.001705	99.650886	4000	True	0.001703
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	92	0.000540	0.001720	100.724865	4000	True	0.001718
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	93	0.000542	0.001725	101.807831	4000	True	0.001719
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	94	0.000501	0.001679	102.900658	4000	True	0.001751
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	95	0.000535	0.001709	103.964271	4000	True	0.001766
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	96	0.000540	0.001717	105.032641	4000	True	0.001688
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	97	0.000537	0.001720	106.111763	4000	True	0.001681
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	98	0.000550	0.001730	107.195406	4000	True	0.001686
dlrm	MPSPhaseCollAsymm	1.000000	65536	CR	99	0.000515	0.001697	108.280782	4000	True	0.001679
